name,version,classification,rationale
altgraph,0.17.5,REMOVE,"Packaging, cosmetic, obsolete, or development-only residue; exclude from production."
annotated-types,0.7.0,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
anyio,4.12.0,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
babel,2.17.0,REMOVE,"Packaging, cosmetic, obsolete, or development-only residue; exclude from production."
beautifulsoup4,4.14.3,OPTIONAL,Install only with the owning feature or development/benchmark extra.
blinker,1.9.0,REMOVE,"Packaging, cosmetic, obsolete, or development-only residue; exclude from production."
bottle,0.13.4,REQUIRED,Used by the selected minimal WebView2 desktop runtime (direct or transitive).
CacheControl,0.14.4,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
cachetools,6.2.2,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
certifi,2025.11.12,OPTIONAL,Install only with the owning feature or development/benchmark extra.
cffi,2.0.0,REQUIRED,Used by the selected minimal WebView2 desktop runtime (direct or transitive).
charset-normalizer,3.4.4,OPTIONAL,Install only with the owning feature or development/benchmark extra.
click,8.3.1,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
clr_loader,0.2.8,REQUIRED,Used by the selected minimal WebView2 desktop runtime (direct or transitive).
colorama,0.4.6,REMOVE,"Packaging, cosmetic, obsolete, or development-only residue; exclude from production."
comtypes,1.4.13,OPTIONAL,Install only with the owning feature or development/benchmark extra.
cryptography,46.0.3,OPTIONAL,Install only with the owning feature or development/benchmark extra.
exceptiongroup,1.3.1,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
firebase_admin,7.1.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
Flask,3.1.2,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
flask-cors,6.0.1,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-ai-generativelanguage,0.6.15,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-api-core,2.28.1,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-api-python-client,2.187.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-auth,2.43.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-auth-httplib2,0.2.1,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-cloud-core,2.5.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-cloud-firestore,2.21.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-cloud-storage,3.6.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-crc32c,1.7.1,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-generativeai,0.8.5,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
google-resumable-media,2.8.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
googleapis-common-protos,1.72.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
grpcio,1.76.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
grpcio-status,1.71.2,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
h11,0.16.0,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
h2,4.3.0,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
hpack,4.1.0,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
httpcore,1.0.9,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
httplib2,0.31.0,REPLACE,Legacy coupling or heavy stack; replace with the new provider/stdlib architecture.
httpx,0.28.1,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
hyperframe,6.1.0,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
idna,3.11,OPTIONAL,Install only with the owning feature or development/benchmark extra.
itsdangerous,2.2.0,UNKNOWN,No verified Phase 1 owner; keep excluded until a feature and measurement justify it.
